simulacao_id,cliente_id,tempo_espera,tempo_atendimento,posto_id
1,1,0,1,1
1,2,1,1,1
1,3,2,0,1
1,4,2,0,1
1,5,3,1,1
1,6,4,1,1
1,7,5,1,1
1,8,6,1,1
1,9,8,1,1
1,10,8,1,1
1,11,9,0,0
1,12,1776792573,0,0
1,13,1776792574,0,0
1,14,1776792574,0,0
1,15,1776792574,0,0
1,16,1776792575,0,0
1,17,1776792575,0,0
1,18,1776792576,0,0
1,19,1776792577,0,0
1,20,1776792577,0,0
1,21,1776792578,0,0
1,22,1776792578,0,0
1,23,1776792579,0,0
1,24,1776792579,0,0
1,25,1776792579,0,0
1,26,1776792580,0,0
1,27,1776792580,0,0
1,28,1776792581,0,0
1,29,1776792581,0,0
1,30,1776792582,0,0
1,31,1776792582,0,0
1,32,1776792583,0,0
1,33,1776792583,0,0
1,34,1776792584,0,0
1,35,1776792584,0,0
2,1,0,0,1
2,2,0,1,1
2,3,1,1,2
2,4,1,1,1
2,5,3,1,1
2,6,2,1,2
2,7,3,1,2
2,8,2,1,1
2,9,4,0,1
2,10,4,0,2
2,11,3,0,1
2,12,4,1,2
2,13,3,0,1
2,14,4,1,1
2,15,4,1,2
2,16,4,1,1
2,17,5,0,2
2,18,4,0,2
2,19,4,1,1
2,20,3,1,2
2,21,4,1,1
2,22,4,0,0
2,23,5,0,0
2,24,1776792580,0,0
2,25,1776792581,0,0
2,26,1776792581,0,0
2,27,1776792581,0,0
2,28,1776792581,0,0
2,29,1776792582,0,0
2,30,1776792582,0,0
2,31,1776792583,0,0
2,32,1776792583,0,0
3,1,0,1,1
3,2,1,1,3
3,3,1,1,2
3,4,0,1,1
3,5,1,1,1
3,6,0,1,3
3,7,0,0,2
3,8,1,0,2
3,9,0,0,1
3,10,0,1,1
3,11,1,1,3
3,12,1,0,2
3,13,1,1,1
3,14,0,1,2
3,15,1,0,3
3,16,1,1,1
3,17,1,0,2
3,18,1,1,2
3,19,0,1,1
3,20,1,0,3
3,21,0,1,1
3,22,1,1,3
3,23,1,0,2
3,24,0,1,1
3,25,0,1,2
3,26,0,1,1
3,27,0,0,3
3,28,1,1,3
3,29,0,1,2
3,30,0,0,0
3,31,0,0,0
4,1,1,0,2
4,2,1,1,3
4,3,1,1,1
4,4,0,1,4
4,5,0,1,2
4,6,1,1,3
4,7,0,1,1
4,8,0,1,2
4,9,0,0,1
4,10,0,0,1
4,11,1,0,3
4,12,0,0,2
4,13,0,1,1
4,14,0,0,3
4,15,1,1,2
4,16,1,0,4
4,17,0,1,3
4,18,0,0,1
4,19,0,1,2
4,20,0,1,1
4,21,0,0,1
4,22,1,0,2
4,23,0,1,3
4,24,0,1,1
4,25,1,0,2
4,26,1,1,2
4,27,1,1,1
4,28,1,0,3
4,29,0,1,4
4,30,0,1,2
4,31,1,0,3
4,32,0,0,0
4,33,1,0,0
4,34,1,0,0
5,1,0,1,1
5,2,1,1,2
5,3,0,1,3
5,4,1,1,2
5,5,1,1,4
5,6,1,1,5
5,7,0,1,3
5,8,1,1,1
5,9,0,0,4
5,10,0,1,4
5,11,0,1,1
5,12,1,0,2
5,13,0,1,4
5,14,0,0,1
5,15,0,0,2
5,16,0,1,1
5,17,1,0,2
5,18,0,1,3
5,19,0,1,2
5,20,0,1,1
5,21,0,1,3
5,22,1,1,2
5,23,0,1,4
5,24,1,1,1
5,25,1,0,4
5,26,0,1,3
5,27,0,1,1
5,28,1,1,2
5,29,1,0,4
5,30,0,0,4
5,31,0,1,4
5,32,1,0,0
5,33,1,0,0
5,34,1776792584,0,0
6,1,0,1,1
6,2,1,1,3
6,3,0,1,1
6,4,1,1,4
6,5,0,1,3
6,6,1,0,1
6,7,0,1,2
6,8,0,1,1
6,9,1,1,4
6,10,0,1,2
6,11,0,1,5
6,12,1,0,1
6,13,0,0,3
6,14,1,0,1
6,15,0,0,1
6,16,1,1,2
6,17,0,1,1
6,18,1,1,4
6,19,0,1,2
6,20,0,1,5
6,21,0,0,4
6,22,0,1,4
6,23,1,1,1
6,24,0,1,3
6,25,0,1,4
6,26,1,0,2
6,27,0,1,3
6,28,1,0,0
6,29,1,0,0
6,30,1,0,0
6,31,1776792584,0,0
